composition,ΔH,ΔS,C14,C15,wt,ln_p
Ti0.33333333 Mn0.28333333 V0.01666667 Cr0.33333333 Fe0.03333333,14.7,93.7,100.0,0.0,,-11.199422660572528
Ti0.33333333 Mn0.23333333 V0.03333333 Cr0.33333333 Fe0.06666667,17.7,101.0,100.0,0.0,,-12.063026220832331
Ti0.33333333 Mn0.18333333 V0.05 Cr0.33333333 Fe0.1,18.6,99.9,100.0,0.0,,-11.926389222997356
Ti0.33333333 Mn0.13333333 V0.06666667 Cr0.33333333 Fe0.13333333,20.2,103.0,100.0,0.0,,-12.291556410873227
Zr0.01346801 Ti0.31986532 Mn0.33333333 Cr0.33333333,15.1,93.0,100.0,0.0,,-11.113302862641328
Zr0.01666667 Ti0.31666667 Mn0.2962963 Cr0.37037037,16.5,93.1,100.0,0.0,,-11.118595140726486
Zr0.05 Ti0.28333333 Mn0.33333333 Cr0.33333333,20.4,102.4,100.0,0.0,,-12.21842675006014
Zr0.05 Ti0.28333333 Mn0.2962963 Cr0.37037037,21.5,101.0,100.0,0.0,,-12.044743805629059
Ti0.33333333 Mn0.33333333 Cr0.33333333,28.76,114.7,100.0,0.0,1.61,-13.657637719509262
Zr0.03333333 Ti0.3 Mn0.33333333 Cr0.33333333,31.7,112.6,100.0,0.0,1.68,-13.390906904017319
Zr0.05 Ti0.28333333 Mn0.33333333 Cr0.33333333,32.6,112.1,100.0,0.0,1.81,-13.326437334616308
Zr0.06666667 Ti0.26666667 Mn0.33333333 Cr0.33333333,33.8,111.8,100.0,0.0,1.9,-13.284580226124609
Zr0.05 Ti0.28333333 Mn0.33333333 Cr0.31666667 Mo0.01666667,32.5,115.2,100.0,0.0,1.88,-13.699783497714698
Zr0.05 Ti0.28333333 Mn0.33333333 Cr0.3 Mo0.03333333,30.8,106.4,100.0,0.0,1.78,-12.649506855905702
Zr0.05 Ti0.28333333 Mn0.33333333 Cr0.28333333 Mo0.05,28.3,100.9,100.0,0.0,1.67,-12.000000000000002
Zr0.05 Ti0.28333333 Mn0.33333333 Cr0.32666667 W0.00666667,28.91,113.8,100.0,0.0,1.52,-13.548664902573972
Zr0.05 Ti0.28333333 Mn0.33333333 Cr0.31666667 W0.01666667,31.25,109.2,100.0,0.0,1.43,-12.984123165744528
Zr0.05 Ti0.28333333 Mn0.33333333 Cr0.3 W0.03333333,26.2,106.2,100.0,0.0,1.36,-12.647582391147463
Zr0.25225225 Ti0.08108108 Mn0.15873016 Cr0.08465608 Co0.05291005 Ni0.37037037,35.5,110.0,35.0,54.0,1.62,-13.059898965600192
Zr0.24324324 Ti0.09009009 Mn0.15873016 Cr0.08465608 Co0.05291005 Ni0.37037037,31.5,104.0,38.0,52.0,1.61,-12.357469328842916
Zr0.23423423 Ti0.0990991 Mn0.15873016 Cr0.08465608 Co0.05291005 Ni0.37037037,32.1,103.0,39.0,50.0,1.51,-12.234303584315613
Zr0.22522523 Ti0.10810811 Mn0.15873016 Cr0.08465608 Co0.05291005 Ni0.37037037,33.9,110.0,49.0,40.0,1.51,-13.067596824633148
Zr0.21621622 Ti0.11711712 Mn0.15873016 Cr0.08465608 Co0.05291005 Ni0.37037037,32.7,107.0,56.0,33.0,1.58,-12.712533076738032
Zr0.24561404 Ti0.0877193 Mn0.15873016 Cr0.08465608 Co0.05291005 Ni0.37037037,36.7,102.0,52.0,29.0,1.56,-12.091893192205918
Zr0.24074074 Ti0.09259259 Mn0.15873016 Cr0.08465608 Co0.05291005 Ni0.37037037,30.8,102.0,34.0,60.0,1.63,-12.120279047389944
Zr0.23809524 Ti0.0952381 Mn0.15873016 Cr0.08465608 Co0.05291005 Ni0.37037037,27.3,102.0,20.0,74.0,1.41,-12.137118114024537
Zr0.23529412 Ti0.09803922 Mn0.15873016 Cr0.08465608 Co0.05291005 Ni0.37037037,24.8,108.0,9.2,85.0,1.12,-12.8708203031032
Zr0.33333333 Al0.03333333 Fe0.63333333,41.1,110.0,0.0,100.0,1.3,-13.032956458984843
Zr0.33333333 Al0.05 Fe0.61666667,40.0,110.0,0.0,100.0,1.26,-13.03824873707
Zr0.33333333 Al0.06666667 Fe0.6,38.9,110.0,0.0,100.0,1.15,-13.043541015155158
Zr0.33333333 Al0.08333333 Fe0.58333333,37.7,110.0,0.0,100.0,1.01,-13.049314409429876
Zr0.33333333 Al0.1 Fe0.56666667,36.6,110.0,0.0,100.0,0.9,-13.054606687515035
Zr0.33333333 V0.03333333 Fe0.63333333,35.4,110.0,0.0,100.0,1.34,-13.060380081789752
Zr0.33333333 V0.06666667 Fe0.6,34.2,110.0,0.0,0.0,1.55,-13.06615347606447
Zr0.33333333 V0.1 Fe0.56666667,33.0,110.0,100.0,0.0,1.71,-13.071926870339187
Zr0.33333333 V0.16666667 Fe0.5,31.6,110.0,100.0,0.0,1.82,-13.078662496993022
Zr0.3 Ti0.03333333 V0.1 Fe0.56666667,30.2,110.0,100.0,0.0,1.69,-13.08539812364686
Zr0.23333333 Ti0.1 V0.1 Fe0.56666667,29.0,110.0,100.0,0.0,1.53,-13.091171517921577
Zr0.16666667 Ti0.16666667 V0.1 Fe0.56666667,27.7,110.0,100.0,0.0,1.39,-13.097426028385854
Zr0.23333333 Ti0.1 V0.06666667 Fe0.6,27.0,110.0,100.0,0.0,1.51,-13.100793841712774
Zr0.23333333 Ti0.1 V0.16666667 Fe0.5,26.5,110.0,100.0,0.0,1.65,-13.103199422660571
Zr0.16166667 Ti0.17166667 Mn0.4 Cr0.26666667,33.0,103.0,0.0,0.0,1.69,-12.229973538609576
Zr0.16166667 Ti0.17166667 Mn0.38095238 Cr0.25396825 Fe0.03174603,30.0,99.0,0.0,0.0,1.58,-11.763290834736589
Zr0.16166667 Ti0.17166667 Mn0.38095238 Cr0.25396825 Co0.03174603,29.0,97.0,0.0,0.0,1.57,-11.527543901852297
Zr0.16166667 Ti0.17166667 Mn0.38095238 Cr0.25396825 Ni0.03174603,31.0,105.0,0.0,0.0,1.63,-12.48015395718066
Zr0.21393035 Ti0.11940298 Mn0.08120301 Al0.00401002 V0.10025063 Cr0.07518797 Co0.0802005 Ni0.32280702 Sn0.00300752,33.7,105.0,100.0,0.0,,-12.467163820062545
Zr0.21393035 Ti0.11940298 Mn0.08120301 Al0.00401002 V0.10025063 Cr0.07518797 Co0.07017544 Ni0.32280702 Sn0.00300752 Mo0.01002506,35.4,111.0,100.0,0.0,,-13.180659129179698
Zr0.21393035 Ti0.11940298 Mn0.08120301 Al0.00401002 V0.10025063 Cr0.07518797 Co0.06015038 Ni0.32280702 Sn0.00300752 Mo0.02005013,36.4,114.0,100.0,0.0,,-13.536685109453932
Zr0.21393035 Ti0.11940298 Mn0.08120301 Al0.00401002 V0.10025063 Cr0.07518797 Co0.05012531 Ni0.32280702 Sn0.00300752 Mo0.03007519,36.7,111.0,100.0,0.0,,-13.174404618715421
Zr0.21393035 Ti0.11940298 Mn0.08120301 Al0.00401002 V0.10025063 Cr0.07518797 Co0.04010025 Ni0.32280702 Sn0.00300752 Mo0.04010025,37.8,111.0,100.0,0.0,,-13.169112340630264
Zr0.21393035 Ti0.11940298 Mn0.08120301 Al0.00401002 V0.10025063 Cr0.07518797 Co0.03007519 Ni0.32280702 Sn0.00300752 Mo0.05012531,38.7,112.0,100.0,0.0,,-13.285061342314169
Ti0.33333333 Mn0.1 Cr0.36666667 Fe0.2,16.47,103.75,100.0,0.0,1.621,-12.399711330286264
La0.00985222 Ti0.33333333 Mn0.09852217 Cr0.36124795 Fe0.19704434,16.63,104.17,100.0,0.0,1.715,-12.449458744286746
Ce0.00985222 Ti0.33333333 Mn0.09852217 Cr0.36124795 Fe0.19704434,19.27,112.11,100.0,0.0,1.629,-13.391772913158528
Ti0.33614837 Mn0.10084451 Cr0.36429872 Fe0.1987084,19.39,111.29,100.0,0.0,1.663,-13.2925667548713
Zr0.28571429 Ti0.04761905 Mn0.19487179 Cr0.09230769 Co0.05128205 Ni0.32820513,33.9,110.0,52.0,47.1,1.68,-13.067596824633148
Zr0.28571429 Ti0.04761905 Mn0.19487179 Cr0.09230769 Co0.05128205 Ni0.32307692 B0.00512821,35.7,110.0,44.2,54.1,1.63,-13.058936733221072
Zr0.28571429 Ti0.04761905 Mn0.19487179 Cr0.09230769 Co0.05128205 Ni0.31794872 B0.01025641,34.7,107.0,41.3,55.0,1.62,-12.702910752946837
Zr0.28571429 Ti0.04761905 Mn0.19487179 Cr0.09230769 Co0.05128205 Ni0.30769231 B0.02051282,32.9,98.0,44.3,52.6,1.6,-11.62905941784941
Zr0.28571429 Ti0.04761905 Mn0.19487179 Cr0.09230769 Fe0.00512821 Co0.05128205 Ni0.32307692,36.0,111.0,36.5,60.3,1.74,-13.177772432042339
Gd0.00512821 Zr0.28571429 Ti0.04761905 Mn0.19487179 Cr0.09230769 Co0.05128205 Ni0.32307692,38.4,116.0,41.6,54.9,1.74,-13.767620880442626
Mg0.02051282 Zr0.28571429 Ti0.04761905 Mn0.19487179 Cr0.09230769 Co0.05128205 Ni0.30769231,38.4,116.0,49.3,48.1,1.75,-13.767620880442626
Zr0.28571429 Ti0.04761905 Mn0.19487179 Cr0.09230769 Co0.05128205 Ni0.30769231 C0.02051282,31.3,111.0,38.7,56.4,1.58,-13.200384892951648
Zr0.2183908 Ti0.11494253 Mn0.08282209 Al0.00408998 V0.10224949 Cr0.07668712 Co0.07157464 Ni0.32924335,41.6,125.0,85.4,11.2,1.49,-14.834736588886216
La0.01007049 Zr0.21499014 Ti0.1183432 Mn0.081571 Al0.0040282 V0.10070493 Cr0.0755287 Co0.07049345 Ni0.32426989,41.4,125.0,75.6,21.5,1.58,-14.835698821265336
La0.01984127 Zr0.21138211 Ti0.12195122 Mn0.08035714 Al0.00396825 V0.09920635 Cr0.07440476 Co0.06944444 Ni0.31944444,40.6,121.0,80.8,15.5,1.66,-14.358431561222035
La0.02932551 Zr0.20754717 Ti0.12578616 Mn0.07917889 Al0.00391007 V0.09775171 Cr0.07331378 Co0.0684262 Ni0.31476051,40.0,123.0,80.7,15.8,1.53,-14.601876353139282
La0.03853565 Zr0.2034632 Ti0.12987013 Mn0.07803468 Al0.00385356 V0.09633911 Cr0.07225434 Co0.06743738 Ni0.31021195,36.6,116.0,82.8,14.3,1.53,-13.776280971854703
La0.04748338 Zr0.19910515 Ti0.13422819 Mn0.07692308 Al0.00379867 V0.09496676 Cr0.07122507 Co0.06647673 Ni0.30579297,35.8,117.0,88.7,8.4,1.42,-13.900408948761125
Zr0.33333333 Fe0.16666667 Co0.5,9.5,33.0,0.0,100.0,,-3.923502525859995
Zr0.33333333 V0.63333333 Fe0.03333333,110.24,167.11,0.0,0.0,,-19.569449121962954
Zr0.33333333 V0.6 Fe0.06666667,105.59,164.12,0.0,0.0,,-19.23218667308155
Zr0.33333333 V0.56666667 Fe0.1,69.01,124.5,0.0,0.0,,-14.642723117632908
Zr0.33333333 Mn0.33333333 Fe0.23333333 Co0.1,9.8,37.4,0.0,0.0,,-4.451286985807072
