composition,wt
Ti0.33333333 Mn0.33333333 Cr0.33333333,1.61
Zr0.03333333 Ti0.3 Mn0.33333333 Cr0.33333333,1.68
Zr0.05 Ti0.28333333 Mn0.33333333 Cr0.33333333,1.81
Zr0.06666667 Ti0.26666667 Mn0.33333333 Cr0.33333333,1.9
Zr0.05 Ti0.28333333 Mn0.33333333 Cr0.31666667 Mo0.01666667,1.88
Zr0.05 Ti0.28333333 Mn0.33333333 Cr0.3 Mo0.03333333,1.78
Zr0.05 Ti0.28333333 Mn0.33333333 Cr0.28333333 Mo0.05,1.67
Zr0.05 Ti0.28333333 Mn0.33333333 Cr0.32666667 W0.00666667,1.52
Zr0.05 Ti0.28333333 Mn0.33333333 Cr0.31666667 W0.01666667,1.43
Zr0.05 Ti0.28333333 Mn0.33333333 Cr0.3 W0.03333333,1.36
Zr0.25225225 Ti0.08108108 Mn0.15873016 Cr0.08465608 Co0.05291005 Ni0.37037037,1.62
Zr0.24324324 Ti0.09009009 Mn0.15873016 Cr0.08465608 Co0.05291005 Ni0.37037037,1.61
Zr0.23423423 Ti0.0990991 Mn0.15873016 Cr0.08465608 Co0.05291005 Ni0.37037037,1.51
Zr0.22522523 Ti0.10810811 Mn0.15873016 Cr0.08465608 Co0.05291005 Ni0.37037037,1.51
Zr0.21621622 Ti0.11711712 Mn0.15873016 Cr0.08465608 Co0.05291005 Ni0.37037037,1.58
Zr0.24561404 Ti0.0877193 Mn0.15873016 Cr0.08465608 Co0.05291005 Ni0.37037037,1.56
Zr0.24074074 Ti0.09259259 Mn0.15873016 Cr0.08465608 Co0.05291005 Ni0.37037037,1.63
Zr0.23809524 Ti0.0952381 Mn0.15873016 Cr0.08465608 Co0.05291005 Ni0.37037037,1.41
Zr0.23529412 Ti0.09803922 Mn0.15873016 Cr0.08465608 Co0.05291005 Ni0.37037037,1.12
Zr0.33333333 Al0.03333333 Fe0.63333334,1.3
Zr0.33333333 Al0.05 Fe0.61666667,1.26
Zr0.33333333 Al0.06666667 Fe0.6,1.15
Zr0.33333333 Al0.08333333 Fe0.58333334,1.01
Zr0.33333333 Al0.1 Fe0.56666667,0.9
Zr0.33333333 V0.03333333 Fe0.63333334,1.34
Zr0.33333333 V0.06666667 Fe0.6,1.55
Zr0.33333333 V0.1 Fe0.56666667,1.71
Zr0.33333333 V0.16666667 Fe0.5,1.82
Zr0.3 Ti0.03333333 V0.1 Fe0.56666667,1.69
Zr0.23333333 Ti0.1 V0.1 Fe0.56666667,1.53
Zr0.16666667 Ti0.16666667 V0.1 Fe0.56666666,1.39
Zr0.23333333 Ti0.1 V0.06666667 Fe0.6,1.51
Zr0.23333333 Ti0.1 V0.16666667 Fe0.5,1.65
Zr0.16166667 Ti0.17166667 Mn0.4 Cr0.26666667,1.69
Zr0.16166667 Ti0.17166667 Mn0.38095238 Cr0.25396825 Fe0.03174603,1.58
Zr0.16166667 Ti0.17166667 Mn0.38095238 Cr0.25396825 Co0.03174603,1.57
Zr0.16166667 Ti0.17166667 Mn0.38095238 Cr0.25396825 Ni0.03174603,1.63
Ti0.33333333 Mn0.1 Cr0.36666667 Fe0.2,1.621
La0.00985222 Ti0.33333333 Mn0.09852217 Cr0.36124795 Fe0.19704434,1.715
Ce0.00985222 Ti0.33333333 Mn0.09852217 Cr0.36124795 Fe0.19704434,1.629
Ti0.33614837 Mn0.10084451 Cr0.36429872 Fe0.1987084,1.663
Zr0.28571429 Ti0.04761905 Mn0.19487179 Cr0.09230769 Co0.05128205 Ni0.32820513,1.68
Zr0.28571429 Ti0.04761905 Mn0.19487179 Cr0.09230769 Co0.05128205 Ni0.32307692 B0.00512821,1.63
Zr0.28571429 Ti0.04761905 Mn0.19487179 Cr0.09230769 Co0.05128205 Ni0.31794872 B0.01025641,1.62
Zr0.28571429 Ti0.04761905 Mn0.19487179 Cr0.09230769 Co0.05128205 Ni0.30769231 B0.02051282,1.6
Zr0.28571429 Ti0.04761905 Mn0.19487179 Cr0.09230769 Fe0.00512821 Co0.05128205 Ni0.32307692,1.74
