composition,ΔH
Ti0.33333333 Mn0.28333333 V0.01666667 Cr0.33333333 Fe0.03333333,14.7
Ti0.33333333 Mn0.23333333 V0.03333333 Cr0.33333333 Fe0.06666667,17.7
Ti0.33333333 Mn0.18333333 V0.05 Cr0.33333333 Fe0.1,18.6
Ti0.33333333 Mn0.13333333 V0.06666667 Cr0.33333333 Fe0.13333333,20.2
Zr0.01346801 Ti0.31986532 Mn0.33333333 Cr0.33333333,15.1
Zr0.01666667 Ti0.31666667 Mn0.2962963 Cr0.37037037,16.5
Zr0.05 Ti0.28333333 Mn0.33333333 Cr0.33333333,20.4
Zr0.05 Ti0.28333333 Mn0.2962963 Cr0.37037037,21.5
Ti0.33333333 Mn0.33333333 Cr0.33333333,28.76
Zr0.03333333 Ti0.3 Mn0.33333333 Cr0.33333333,31.7
Zr0.05 Ti0.28333333 Mn0.33333333 Cr0.33333333,32.6
Zr0.06666667 Ti0.26666667 Mn0.33333333 Cr0.33333333,33.8
Zr0.05 Ti0.28333333 Mn0.33333333 Cr0.31666667 Mo0.01666667,32.5
Zr0.05 Ti0.28333333 Mn0.33333333 Cr0.3 Mo0.03333333,30.8
Zr0.05 Ti0.28333333 Mn0.33333333 Cr0.28333333 Mo0.05,28.3
Zr0.05 Ti0.28333333 Mn0.33333333 Cr0.32666667 W0.00666667,28.91
Zr0.05 Ti0.28333333 Mn0.33333333 Cr0.31666667 W0.01666667,31.25
Zr0.05 Ti0.28333333 Mn0.33333333 Cr0.3 W0.03333333,26.2
Zr0.25225225 Ti0.08108108 Mn0.15873016 Cr0.08465608 Co0.05291005 Ni0.37037037,35.5
Zr0.24324324 Ti0.09009009 Mn0.15873016 Cr0.08465608 Co0.05291005 Ni0.37037037,31.5
Zr0.23423423 Ti0.0990991 Mn0.15873016 Cr0.08465608 Co0.05291005 Ni0.37037037,32.1
Zr0.22522523 Ti0.10810811 Mn0.15873016 Cr0.08465608 Co0.05291005 Ni0.37037037,33.9
Zr0.21621622 Ti0.11711712 Mn0.15873016 Cr0.08465608 Co0.05291005 Ni0.37037037,32.7
Zr0.24561404 Ti0.0877193 Mn0.15873016 Cr0.08465608 Co0.05291005 Ni0.37037037,36.7
Zr0.24074074 Ti0.09259259 Mn0.15873016 Cr0.08465608 Co0.05291005 Ni0.37037037,30.8
Zr0.23809524 Ti0.0952381 Mn0.15873016 Cr0.08465608 Co0.05291005 Ni0.37037037,27.3
Zr0.23529412 Ti0.09803922 Mn0.15873016 Cr0.08465608 Co0.05291005 Ni0.37037037,24.8
Zr0.33333333 Al0.03333333 Fe0.63333334,41.1
Zr0.33333333 Al0.05 Fe0.61666667,40.0
